"시도별","품목별",2025.05
"서울특별시","농축수산물",122.24
"서울특별시","가공식품",123.21
"서울특별시","내구재",107.72
"서울특별시","섬유제품",116.08
"서울특별시","출판물",109.82
"서울특별시","석유류",120.5
"서울특별시","의약품",105.46
"서울특별시","화장품",119.12
"서울특별시","기타",110.13
"서울특별시","전기 · 가스 · 수도",145.35
"서울특별시","외식",124.43
"서울특별시","외식제외",117.46
"부산광역시","농축수산물",121.54
"부산광역시","가공식품",123.34
"부산광역시","내구재",108.25
"부산광역시","섬유제품",116.17
"부산광역시","출판물",109.8
"부산광역시","석유류",123.6
"부산광역시","의약품",105.18
"부산광역시","화장품",120.57
"부산광역시","기타",110.29
"부산광역시","전기 · 가스 · 수도",136.41
"부산광역시","외식",124.92
"부산광역시","외식제외",117.32
"대구광역시","농축수산물",122.8
"대구광역시","가공식품",125.87
"대구광역시","내구재",107.9
"대구광역시","섬유제품",116.17
"대구광역시","출판물",109.42
"대구광역시","석유류",122.84
"대구광역시","의약품",107.39
"대구광역시","화장품",119.46
"대구광역시","기타",110.15
"대구광역시","전기 · 가스 · 수도",141.76
"대구광역시","외식",123.61
"대구광역시","외식제외",116.85
"인천광역시","농축수산물",124.6
"인천광역시","가공식품",124.76
"인천광역시","내구재",108.16
"인천광역시","섬유제품",115.76
"인천광역시","출판물",109.44
"인천광역시","석유류",122.48
"인천광역시","의약품",104.08
"인천광역시","화장품",120.9
"인천광역시","기타",111.12
"인천광역시","전기 · 가스 · 수도",140.78
"인천광역시","외식",124.53
"인천광역시","외식제외",118.29
"광주광역시","농축수산물",124.55
"광주광역시","가공식품",122.21
"광주광역시","내구재",107.94
"광주광역시","섬유제품",116.01
"광주광역시","출판물",109.36
"광주광역시","석유류",124.04
"광주광역시","의약품",106.75
"광주광역시","화장품",119.22
"광주광역시","기타",111.12
"광주광역시","전기 · 가스 · 수도",138.39
"광주광역시","외식",125.24
"광주광역시","외식제외",117.85
"대전광역시","농축수산물",121.62
"대전광역시","가공식품",124.54
"대전광역시","내구재",108.27
"대전광역시","섬유제품",116.16
"대전광역시","출판물",109.76
"대전광역시","석유류",123.7
